"#","N°","Nombre","Tx del coche","Vueltas","Lidera","Tiempo de vuelta","Veloc.","T° Transcurrido","Tm de pasos","Hits","Fuerza","Ruido","Tiempo en fotocélula","Backup Tx","Backup paso Tm","Clase","Borrado"
"1","","Bandera de Calentamiento","","","","","","","8:11:29.928","","","","","","","",""
"2","#111","Martin Ospina Cuello","9600460","0","0","","0,0","","8:14:06.408","88","93","23","","0","","125cc Junior (12 – 17 años)","No"
"3","#114","Miguel Angel Lopez","4","0","0","","0,0","","8:14:09.199","85","96","23","","0","","125cc Junior (12 – 17 años)","No"
"4","#818","Santigo Ferro","1","0","0","","0,0","","8:14:10.411","103","96","23","","0","","125cc Junior (12 – 17 años)","No"
"5","#222","Maximiliano Ramirez","6772247","0","0","","0,0","","8:14:11.218","86","99","23","","0","","125cc Junior (12 – 17 años)","No"
"6","#130","Santiago Gutierrez Castillo","2","0","0","","0,0","","8:14:15.164","97","104","23","","0","","125cc Junior (12 – 17 años)","No"
"7","#56","Nicolás Acosta Solano","26","0","0","","0,0","","8:14:15.434","113","97","23","","0","","125cc Junior (12 – 17 años)","No"
"8","#120","MATIAS GOMEZ ORJUELA","16617109","0","0","","0,0","","8:14:16.360","105","102","23","","0","","125cc Junior (12 – 17 años)","No"
"9","#10","Matias Ospina","14","0","0","","0,0","","8:14:21.604","91","101","23","","0","","125cc Junior (12 – 17 años)","No"
"10","#111","Martin Ospina Cuello","9600460","0","0","","0,0","","8:16:04.701","64","96","23","","0","","125cc Junior (12 – 17 años)","No"
"11","#114","Miguel Angel Lopez","4","0","0","","0,0","","8:16:05.874","61","91","23","","0","","125cc Junior (12 – 17 años)","No"
"12","#818","Santigo Ferro","1","0","0","","0,0","","8:16:14.032","63","94","23","","0","","125cc Junior (12 – 17 años)","No"
"13","#130","Santiago Gutierrez Castillo","2","0","0","","0,0","","8:16:21.163","69","98","23","","0","","125cc Junior (12 – 17 años)","No"
"14","#120","MATIAS GOMEZ ORJUELA","16617109","0","0","","0,0","","8:16:26.925","90","98","23","","0","","125cc Junior (12 – 17 años)","No"
"15","#56","Nicolás Acosta Solano","26","0","0","","0,0","","8:16:30.420","68","92","23","","0","","125cc Junior (12 – 17 años)","No"
"16","#222","Maximiliano Ramirez","6772247","0","0","","0,0","","8:16:30.543","72","101","23","","0","","125cc Junior (12 – 17 años)","No"
"17","#10","Matias Ospina","14","0","0","","0,0","","8:16:31.305","68","91","23","","0","","125cc Junior (12 – 17 años)","No"
"18","","Bandera Verde ","","","","","","0.000","8:21:35.525","","","","","","","",""
"19","#111","Martin Ospina Cuello","9600460","0","0","","0,0","7.304","8:21:42.829","90","97","21","","0","","125cc Junior (12 – 17 años)","No"
"20","#120","MATIAS GOMEZ ORJUELA","16617109","0","0","","0,0","7.649","8:21:43.174","74","98","21","","0","","125cc Junior (12 – 17 años)","No"
"21","#56","Nicolás Acosta Solano","26","0","0","","0,0","8.181","8:21:43.706","101","97","23","","0","","125cc Junior (12 – 17 años)","No"
"22","#114","Miguel Angel Lopez","4","0","0","","0,0","8.302","8:21:43.827","84","92","23","","0","","125cc Junior (12 – 17 años)","No"
"23","#818","Santigo Ferro","1","0","0","","0,0","8.366","8:21:43.891","92","93","23","","0","","125cc Junior (12 – 17 años)","No"
"24","#130","Santiago Gutierrez Castillo","2","0","0","","0,0","8.954","8:21:44.479","111","100","23","","0","","125cc Junior (12 – 17 años)","No"
"25","#10","Matias Ospina","14","0","0","","0,0","9.420","8:21:44.945","112","96","23","","0","","125cc Junior (12 – 17 años)","No"
"26","#222","Maximiliano Ramirez","6772247","0","0","","0,0","9.547","8:21:45.072","15","44","23","","0","","125cc Junior (12 – 17 años)","No"
"27","#111","Martin Ospina Cuello","9600460","1","1","1:50.635","32,5","1:57.939","8:23:33.464","56","95","23","","0","","125cc Junior (12 – 17 años)","No"
"28","#114","Miguel Angel Lopez","4","1","1","1:50.103","32,7","1:58.405","8:23:33.930","56","92","23","","0","","125cc Junior (12 – 17 años)","No"
"29","#120","MATIAS GOMEZ ORJUELA","16617109","1","1","1:57.359","30,7","2:05.008","8:23:40.533","64","100","23","","0","","125cc Junior (12 – 17 años)","No"
"30","#818","Santigo Ferro","1","1","1","1:58.432","30,4","2:06.798","8:23:42.323","58","96","23","","0","","125cc Junior (12 – 17 años)","No"
"31","#130","Santiago Gutierrez Castillo","2","1","1","2:00.631","29,8","2:09.585","8:23:45.110","56","97","23","","0","","125cc Junior (12 – 17 años)","No"
"32","#56","Nicolás Acosta Solano","26","1","1","2:07.426","28,3","2:15.607","8:23:51.132","53","89","23","","0","","125cc Junior (12 – 17 años)","No"
"33","#10","Matias Ospina","14","1","1","2:09.348","27,8","2:18.768","8:23:54.293","66","93","23","","0","","125cc Junior (12 – 17 años)","No"
"34","#222","Maximiliano Ramirez","6772247","1","1","2:09.601","27,8","2:19.148","8:23:54.673","67","99","23","","0","","125cc Junior (12 – 17 años)","No"
"35","#111","Martin Ospina Cuello","9600460","2","2","1:48.941","33,0","3:46.880","8:25:22.405","59","94","23","","0","","125cc Junior (12 – 17 años)","No"
"36","#114","Miguel Angel Lopez","4","2","2","1:48.954","33,0","3:47.359","8:25:22.884","60","92","23","","0","","125cc Junior (12 – 17 años)","No"
"37","#120","MATIAS GOMEZ ORJUELA","16617109","2","2","1:56.843","30,8","4:01.851","8:25:37.376","62","96","23","","0","","125cc Junior (12 – 17 años)","No"
"38","#818","Santigo Ferro","1","2","2","1:59.042","30,2","4:05.840","8:25:41.365","71","92","23","","0","","125cc Junior (12 – 17 años)","No"
"39","#130","Santiago Gutierrez Castillo","2","2","2","1:57.029","30,8","4:06.614","8:25:42.139","55","97","23","","0","","125cc Junior (12 – 17 años)","No"
"40","#222","Maximiliano Ramirez","6772247","2","2","1:54.678","31,4","4:13.826","8:25:49.351","55","104","23","","0","","125cc Junior (12 – 17 años)","No"
"41","#56","Nicolás Acosta Solano","26","2","2","2:03.922","29,1","4:19.529","8:25:55.054","60","92","23","","0","","125cc Junior (12 – 17 años)","No"
"42","#10","Matias Ospina","14","2","2","2:03.627","29,1","4:22.395","8:25:57.920","63","91","23","","0","","125cc Junior (12 – 17 años)","No"
"43","#114","Miguel Angel Lopez","4","3","3","1:47.011","33,6","5:34.370","8:27:09.895","58","92","21","","0","","125cc Junior (12 – 17 años)","No"
"44","#111","Martin Ospina Cuello","9600460","3","3","1:49.023","33,0","5:35.903","8:27:11.428","54","99","21","","0","","125cc Junior (12 – 17 años)","No"
"45","#120","MATIAS GOMEZ ORJUELA","16617109","3","3","1:54.892","31,3","5:56.743","8:27:32.268","66","99","21","","0","","125cc Junior (12 – 17 años)","No"
"46","#130","Santiago Gutierrez Castillo","2","3","3","1:57.796","30,6","6:04.410","8:27:39.935","56","90","21","","0","","125cc Junior (12 – 17 años)","No"
"47","#818","Santigo Ferro","1","3","3","1:59.884","30,0","6:05.724","8:27:41.249","67","94","21","","0","","125cc Junior (12 – 17 años)","No"
"48","#222","Maximiliano Ramirez","6772247","3","3","1:53.462","31,7","6:07.288","8:27:42.813","57","96","23","","0","","125cc Junior (12 – 17 años)","No"
"49","#56","Nicolás Acosta Solano","26","3","3","2:04.587","28,9","6:24.116","8:27:59.641","65","93","23","","0","","125cc Junior (12 – 17 años)","No"
"50","#10","Matias Ospina","14","3","3","2:03.691","29,1","6:26.086","8:28:01.611","58","91","23","","0","","125cc Junior (12 – 17 años)","No"
"51","#114","Miguel Angel Lopez","4","4","4","1:47.953","33,3","7:22.323","8:28:57.848","59","92","23","","0","","125cc Junior (12 – 17 años)","No"
"52","#111","Martin Ospina Cuello","9600460","4","4","1:48.924","33,1","7:24.827","8:29:00.352","56","99","23","","0","","125cc Junior (12 – 17 años)","No"
"53","#120","MATIAS GOMEZ ORJUELA","16617109","4","4","1:55.278","31,2","7:52.021","8:29:27.546","61","98","23","","0","","125cc Junior (12 – 17 años)","No"
"54","#130","Santiago Gutierrez Castillo","2","4","4","1:57.124","30,7","8:01.534","8:29:37.059","55","92","23","","0","","125cc Junior (12 – 17 años)","No"
"55","#222","Maximiliano Ramirez","6772247","4","4","1:54.889","31,3","8:02.177","8:29:37.702","57","99","23","","0","","125cc Junior (12 – 17 años)","No"
"56","#818","Santigo Ferro","1","4","4","2:02.741","29,3","8:08.465","8:29:43.990","88","95","21","","0","","125cc Junior (12 – 17 años)","No"
"57","#56","Nicolás Acosta Solano","26","4","4","2:07.330","28,3","8:31.446","8:30:06.971","63","91","21","","0","","125cc Junior (12 – 17 años)","No"
"58","#10","Matias Ospina","14","4","4","2:06.002","28,6","8:32.088","8:30:07.613","75","93","21","","0","","125cc Junior (12 – 17 años)","No"
"59","#114","Miguel Angel Lopez","4","5","5","1:47.545","33,5","9:09.868","8:30:45.393","57","93","23","","0","","125cc Junior (12 – 17 años)","No"
"60","#111","Martin Ospina Cuello","9600460","5","5","1:48.957","33,0","9:13.784","8:30:49.309","53","99","23","","0","","125cc Junior (12 – 17 años)","No"
"61","#120","MATIAS GOMEZ ORJUELA","16617109","5","5","1:55.778","31,1","9:47.799","8:31:23.324","62","100","23","","0","","125cc Junior (12 – 17 años)","No"
"62","#222","Maximiliano Ramirez","6772247","5","5","1:53.546","31,7","9:55.723","8:31:31.248","60","97","23","","0","","125cc Junior (12 – 17 años)","No"
"63","#130","Santiago Gutierrez Castillo","2","5","5","2:01.659","29,6","10:03.193","8:31:38.718","56","96","23","","0","","125cc Junior (12 – 17 años)","No"
"64","#818","Santigo Ferro","1","5","5","2:03.032","29,3","10:11.497","8:31:47.022","102","97","21","","0","","125cc Junior (12 – 17 años)","No"
"65","#56","Nicolás Acosta Solano","26","5","5","2:05.134","28,8","10:36.580","8:32:12.105","77","94","21","","0","","125cc Junior (12 – 17 años)","No"
